Test Summary
Block per die: ,2000
Total VB (single unit) pages: ,36
Total Pages: ,72000
OP Size: ,28
Host write range: ,56250
Total Erase Count is: ,3187484
Max Erase Count: ,62495
Min Erase Count: ,0
Avg Erase Count: ,1593.742000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,62484
WAF is: ,1.019985

VB No,Valid Count,Erase Count
0,0,62495
1,36,1564
2,36,1564
3,36,1564
4,36,1564
5,36,1564
6,36,1564
7,36,1564
8,36,1564
9,36,1564
10,36,1564
11,36,1564
12,36,1564
13,36,1564
14,36,1564
15,36,1564
16,36,1564
17,36,1564
18,36,1564
19,36,1564
20,36,1564
21,36,1564
22,36,1564
23,36,1564
24,36,1564
25,36,1564
26,36,1564
27,36,1564
28,36,1564
29,36,1564
30,36,1564
31,36,1564
32,36,1564
33,36,1564
34,36,1564
35,36,1564
36,36,1564
37,36,1564
38,36,1564
39,36,1564
40,36,1564
41,36,1564
42,36,1564
43,36,1564
44,36,1564
45,36,1564
46,36,1564
47,36,1564
48,36,1564
49,36,1564
50,36,1564
51,36,1564
52,36,1564
53,36,1564
54,36,1564
55,36,1564
56,36,1564
57,36,1564
58,36,1564
59,36,1564
60,36,1564
61,36,1564
62,36,1564
63,36,1564
64,36,1564
65,36,1564
66,36,1564
67,36,1564
68,36,1564
69,36,1564
70,36,1564
71,36,1564
72,36,1564
73,36,1564
74,36,1564
75,36,1564
76,36,1564
77,36,1564
78,36,1564
79,36,1564
80,36,1564
81,36,1564
82,36,1564
83,36,1564
84,36,1564
85,36,1564
86,36,1564
87,36,1564
88,36,1564
89,36,1564
90,36,1564
91,36,1564
92,36,1564
93,36,1564
94,36,1564
95,36,1564
96,36,1564
97,36,1564
98,36,1564
99,36,1564
100,36,1564
101,36,1564
102,36,1564
103,36,1564
104,36,1564
105,36,1564
106,36,1564
107,36,1564
108,36,1564
109,36,1564
110,36,1564
111,36,1564
112,36,1564
113,36,1564
114,36,1564
115,36,1564
116,18,1564
117,0,1564
118,0,1564
119,0,1564
120,0,1564
121,0,1564
122,0,1564
123,0,1564
124,0,1564
125,0,1564
126,0,1564
127,0,1564
128,0,1564
129,0,1564
130,0,1564
131,0,1564
132,0,1564
133,0,1564
134,0,1564
135,0,1564
136,0,1564
137,0,1564
138,0,1564
139,0,1564
140,0,1564
141,0,1564
142,0,1564
143,0,1564
144,0,1564
145,0,1564
146,0,1564
147,0,1564
148,0,1564
149,0,1564
150,0,1564
151,0,1564
152,0,1564
153,0,1564
154,0,1564
155,0,1564
156,0,1564
157,0,1564
158,0,1564
159,0,1564
160,0,1564
161,0,1564
162,0,1564
163,0,1564
164,0,1564
165,0,1564
166,0,1564
167,0,1564
168,0,1564
169,0,1564
170,0,1564
171,0,1564
172,0,1564
173,0,1564
174,0,1564
175,0,1564
176,0,1564
177,0,1564
178,0,1564
179,0,1564
180,0,1564
181,0,1564
182,0,1564
183,0,1564
184,0,1564
185,0,1564
186,0,1564
187,0,1564
188,0,1564
189,0,1564
190,0,1564
191,0,1564
192,0,1564
193,0,1564
194,0,1564
195,0,1564
196,0,1564
197,0,1564
198,0,1564
199,0,1564
200,0,1564
201,0,1564
202,0,1564
203,0,1564
204,0,1564
205,0,1564
206,0,1564
207,0,1564
208,0,1564
209,0,1564
210,0,1564
211,0,1564
212,0,1564
213,0,1564
214,0,1564
215,0,1564
216,0,1564
217,0,1564
218,0,1564
219,0,1564
220,0,1564
221,0,1564
222,0,1564
223,0,1564
224,0,1564
225,0,1564
