Loop,Nand Write,Host Write,WAF
100,134578,134578,1.000000
200,201867,201867,1.000000
300,269156,269156,1.000000
400,336445,336445,1.000000
500,403734,403734,1.000000
600,471023,471023,1.000000
700,538312,538312,1.000000
800,605601,605601,1.000000
900,672890,672890,1.000000
1000,740179,740179,1.000000
1100,807900,807468,1.000535
1200,876557,874757,1.002058
1300,945214,942046,1.003363
1400,1013871,1009335,1.004494
1500,1082492,1076624,1.005450
1600,1151149,1143913,1.006326
1700,1219806,1211202,1.007104
1800,1288463,1278491,1.007800
1900,1357120,1345780,1.008426
2000,1425741,1413069,1.008968
2100,1494398,1480358,1.009484
2200,1563055,1547647,1.009956
2300,1631676,1614936,1.010366
2400,1700333,1682225,1.010764
2500,1768990,1749514,1.011132
2600,1837611,1816803,1.011453
2700,1906268,1884092,1.011770
2800,1974925,1951381,1.012065
2900,2043582,2018670,1.012341
3000,2112203,2085959,1.012581
3100,2180860,2153248,1.012823
3200,2249517,2220537,1.013051
3300,2318138,2287826,1.013249
3400,2386795,2355115,1.013452
3500,2455452,2422404,1.013643
3600,2524073,2489693,1.013809
3700,2592730,2556982,1.013981
3800,2661387,2624271,1.014143
3900,2730008,2691560,1.014285
4000,2798665,2758849,1.014432
4100,2867322,2826138,1.014573
4200,2935943,2893427,1.014694
4300,3004600,2960716,1.014822
4400,3073257,3028005,1.014944
4500,3141914,3095294,1.015062
4600,3210535,3162583,1.015162
4700,3279192,3229872,1.015270
4800,3347849,3297161,1.015373
4900,3416470,3364450,1.015462
5000,3485127,3431739,1.015557
5100,3553784,3499028,1.015649
5200,3622405,3566317,1.015727
5300,3691062,3633606,1.015812
5400,3759719,3700895,1.015895
5500,3828340,3768184,1.015964
5600,3896997,3835473,1.016041
5700,3965654,3902762,1.016115
5800,4034275,3970051,1.016177
5900,4102932,4037340,1.016246
6000,4171589,4104629,1.016313
6100,4240246,4171918,1.016378
6200,4308867,4239207,1.016432
6300,4377524,4306496,1.016493
6400,4446181,4373785,1.016552
6500,4514802,4441074,1.016601
6600,4583459,4508363,1.016657
6700,4652116,4575652,1.016711
6800,4720737,4642941,1.016756
6900,4789394,4710230,1.016807
7000,4858051,4777519,1.016856
7100,4926708,4844808,1.016905
7200,4995365,4912097,1.016952
7300,5063986,4979386,1.016990
7400,5132643,5046675,1.017035
7500,5201300,5113964,1.017078
7600,5269957,5181253,1.017120
7700,5338578,5248542,1.017154
7800,5407235,5315831,1.017195
7900,5475892,5383120,1.017234
8000,5544549,5450409,1.017272
8100,5613170,5517698,1.017303
8200,5681827,5584987,1.017339
8300,5750484,5652276,1.017375
8400,5819141,5719565,1.017410
8500,5887798,5786854,1.017444
8600,5956419,5854143,1.017471
8700,6025076,5921432,1.017503
8800,6093733,5988721,1.017535
8900,6162390,6056010,1.017566
9000,6231011,6123299,1.017591
9100,6299668,6190588,1.017620
9200,6368325,6257877,1.017649
9300,6436982,6325166,1.017678
9400,6505639,6392455,1.017706
9500,6574260,6459744,1.017728
9600,6642917,6527033,1.017754
9700,6711574,6594322,1.017781
9800,6780231,6661611,1.017807
9900,6848852,6728900,1.017826
10000,6917509,6796189,1.017851
10100,6986166,6863478,1.017875
10200,7054823,6930767,1.017899
10300,7123480,6998056,1.017923
10400,7192101,7065345,1.017941
10500,7260758,7132634,1.017963
10600,7329415,7199923,1.017985
10700,7398072,7267212,1.018007
10800,7466693,7334501,1.018023
10900,7535350,7401790,1.018044
11000,7604007,7469079,1.018065
11100,7672664,7536368,1.018085
11200,7741321,7603657,1.018105
11300,7809942,7670946,1.018120
11400,7878599,7738235,1.018139
11500,7947256,7805524,1.018158
11600,8015913,7872813,1.018176
11700,8084534,7940102,1.018190
11800,8153191,8007391,1.018208
11900,8221848,8074680,1.018226
12000,8290505,8141969,1.018243
12100,8359126,8209258,1.018256
12200,8427783,8276547,1.018273
12300,8496440,8343836,1.018289
12400,8565097,8411125,1.018306
12500,8633754,8478414,1.018322
12600,8702375,8545703,1.018333
12700,8771032,8612992,1.018349
12800,8839689,8680281,1.018364
12900,8908346,8747570,1.018380
13000,8976967,8814859,1.018390
13100,9045624,8882148,1.018405
13200,9114281,8949437,1.018419
13300,9182938,9016726,1.018434
13400,9251595,9084015,1.018448
13500,9320216,9151304,1.018458
13600,9388873,9218593,1.018471
13700,9457530,9285882,1.018485
13800,9526187,9353171,1.018498
13900,9594808,9420460,1.018507
14000,9663465,9487749,1.018520
14100,9732122,9555038,1.018533
14200,9800779,9622327,1.018546
14300,9869436,9689616,1.018558
14400,9938057,9756905,1.018567
14500,10006714,9824194,1.018579
14600,10075371,9891483,1.018591
14700,10144028,9958772,1.018602
14800,10212649,10026061,1.018610
14900,10281306,10093350,1.018622
15000,10349963,10160639,1.018633
15100,10418620,10227928,1.018644
15200,10487277,10295217,1.018655
15300,10555898,10362506,1.018663
15400,10624555,10429795,1.018673
15500,10693212,10497084,1.018684
15600,10761869,10564373,1.018695
15700,10830490,10631662,1.018701
15800,10899147,10698951,1.018712
15900,10967804,10766240,1.018722
