Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,6729
Max Erase Count: ,36
Min Erase Count: ,0
Avg Erase Count: ,33.645000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,1175
WAF is: ,1.204391

VB No,Valid Count,Erase Count
0,36,36
1,36,33
2,36,34
3,36,34
4,36,36
5,36,36
6,36,32
7,36,35
8,36,33
9,36,33
10,36,34
11,36,35
12,36,34
13,0,36
14,36,33
15,36,34
16,36,36
17,36,33
18,36,35
19,36,33
20,36,32
21,36,32
22,36,34
23,36,35
24,36,33
25,36,32
26,36,35
27,36,36
28,36,34
29,36,33
30,36,34
31,0,36
32,36,33
33,36,35
34,36,32
35,36,34
36,36,32
37,36,33
38,36,34
39,36,35
40,36,32
41,36,34
42,36,35
43,36,33
44,36,36
45,36,36
46,36,34
47,36,36
48,36,33
49,36,32
50,36,34
51,36,32
52,36,32
53,36,34
54,36,33
55,36,32
56,36,33
57,36,33
58,36,32
59,36,35
60,36,35
61,36,35
62,36,35
63,36,33
64,36,33
65,36,34
66,36,36
67,0,36
68,36,34
69,36,32
70,36,33
71,36,32
72,36,35
73,36,33
74,36,34
75,36,32
76,36,33
77,36,32
78,36,36
79,36,32
80,36,36
81,36,35
82,36,35
83,0,36
84,36,33
85,36,35
86,36,33
87,36,32
88,36,33
89,36,32
90,0,35
91,0,36
92,36,34
93,36,34
94,36,32
95,0,36
96,36,35
97,36,32
98,36,32
99,0,35
100,0,35
101,36,33
102,36,32
103,0,35
104,36,33
105,36,34
106,36,33
107,36,32
108,36,34
109,36,34
110,36,36
111,0,36
112,36,33
113,36,33
114,0,35
115,0,35
116,36,32
117,0,35
118,36,32
119,36,35
120,0,36
121,36,34
122,36,33
123,36,34
124,36,32
125,36,33
126,0,35
127,36,32
128,36,34
129,36,33
130,36,35
131,36,33
132,36,36
133,0,35
134,36,34
135,36,33
136,0,35
137,36,34
138,0,36
139,0,35
140,36,32
141,36,32
142,36,32
143,36,32
144,36,36
145,36,33
146,36,35
147,0,35
148,36,33
149,36,33
150,36,35
151,36,33
152,1,34
153,36,33
154,0,33
155,36,36
156,15,32
157,36,35
158,36,34
159,36,31
160,36,32
161,36,34
162,36,35
163,36,34
164,36,33
165,36,31
166,36,33
167,36,31
168,36,32
169,36,31
170,0,36
171,36,33
172,36,34
173,36,31
174,36,32
175,36,33
176,36,33
177,36,31
178,36,35
179,36,36
180,36,33
181,36,35
182,36,31
183,36,32
184,36,32
185,36,35
186,36,34
187,36,31
188,36,33
189,36,31
190,36,32
191,36,34
192,36,35
193,36,33
194,36,32
195,35,31
196,36,34
197,36,32
198,36,33
199,36,32


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,6192,6192,1,37,1
1,6193,6193,1,37,1
2,6194,6194,1,37,1
3,6195,6195,1,37,1
4,6196,6196,1,37,1
5,6197,6197,1,37,1
6,6198,6198,1,37,1
7,6199,6199,1,37,1
8,6200,6200,1,37,1
9,6201,6201,1,37,1
10,6202,6202,1,37,1
11,6203,6203,1,37,1
12,6204,6204,1,37,1
13,6205,6205,1,37,1
14,6206,6206,1,37,1
15,6207,6207,1,37,1
16,6208,6208,1,37,1
17,6209,6209,1,37,1
18,6210,6210,1,37,1
19,6211,6211,1,37,1
20,6212,6212,1,37,1
21,6213,6213,1,37,1
22,6214,6214,1,37,1
23,6215,6215,1,37,1
24,6216,6216,1,37,1
25,6217,6217,1,37,1
26,6218,6218,1,37,1
27,6219,6219,1,37,1
28,6220,6220,1,37,1
29,6221,6221,1,37,1
30,6222,6222,1,37,1
31,6223,6223,1,37,1
32,6224,6224,1,37,1
33,6225,6225,1,37,1
34,6226,6226,1,37,1
35,6227,6227,1,37,1
36,3060,3060,1,34,1
37,3061,3061,1,34,1
38,3062,3062,1,34,1
39,3063,3063,1,34,1
40,3064,3064,1,34,1
41,3065,3065,1,34,1
42,3066,3066,1,34,1
43,3067,3067,1,34,1
44,3068,3068,1,34,1
45,3069,3069,1,34,1
46,3070,3070,1,34,1
47,3071,3071,1,34,1
48,3072,3072,1,34,1
49,3073,3073,1,34,1
50,3074,3074,1,34,1
51,3075,3075,1,34,1
52,3076,3076,1,34,1
53,3077,3077,1,34,1
54,3078,3078,1,34,1
55,3079,3079,1,34,1
56,3080,3080,1,34,1
57,3081,3081,1,34,1
58,3082,3082,1,34,1
59,3083,3083,1,34,1
60,3084,3084,1,34,1
61,3085,3085,1,34,1
62,3086,3086,1,34,1
63,3087,3087,1,34,1
64,3088,3088,1,34,1
65,3089,3089,1,34,1
66,3090,3090,1,34,1
67,3091,3091,1,34,1
68,3092,3092,1,34,1
69,3093,3093,1,34,1
70,3094,3094,1,34,1
71,3095,3095,1,34,1
72,2700,2700,1,35,1
73,2701,2701,1,35,1
74,2702,2702,1,35,1
75,2703,2703,1,35,1
76,2704,2704,1,35,1
77,2705,2705,1,35,1
78,2706,2706,1,35,1
79,2707,2707,1,35,1
80,2708,2708,1,35,1
81,2709,2709,1,35,1
82,2710,2710,1,35,1
83,2711,2711,1,35,1
84,2712,2712,1,35,1
85,2713,2713,1,35,1
86,2714,2714,1,35,1
