Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,65921
Max Erase Count: ,1126
Min Erase Count: ,0
Avg Erase Count: ,329.605000
Total GC Count is: ,29571
Total Segmental GC Count is: ,49972
Total WL Count is: ,11630
WAF is: ,11.386905

VB No,Valid Count,Erase Count
0,34,566
1,34,1126
2,36,439
3,34,1013
4,34,483
5,36,434
6,34,367
7,34,875
8,34,337
9,36,369
10,34,830
11,35,332
12,36,332
13,34,976
14,34,453
15,36,298
16,35,356
17,34,331
18,0,499
19,34,327
20,36,379
21,34,1053
22,35,592
23,0,328
24,34,333
25,34,624
26,36,304
27,36,355
28,36,338
29,34,301
30,33,338
31,35,338
32,34,313
33,35,709
34,0,327
35,35,289
36,35,328
37,34,304
38,33,303
39,35,297
40,36,403
41,33,308
42,34,322
43,36,446
44,35,287
45,36,314
46,35,292
47,34,288
48,35,297
49,36,300
50,34,287
51,34,678
52,35,293
53,36,290
54,35,294
55,35,482
56,33,287
57,33,349
58,34,287
59,36,288
60,34,290
61,36,288
62,36,288
63,33,286
64,20,288
65,34,286
66,33,286
67,34,287
68,35,287
69,33,290
70,33,286
71,35,287
72,33,287
73,35,288
74,36,407
75,36,289
76,35,287
77,35,286
78,35,286
79,34,287
80,36,287
81,34,287
82,33,286
83,34,286
84,33,289
85,34,286
86,34,287
87,35,287
88,0,287
89,34,286
90,34,286
91,36,288
92,36,293
93,35,287
94,33,286
95,33,288
96,35,286
97,35,286
98,33,286
99,34,287
100,35,287
101,36,287
102,34,286
103,35,287
104,36,287
105,33,286
106,35,286
107,35,287
108,33,286
109,36,286
110,33,286
111,34,287
112,34,287
113,36,286
114,33,286
115,33,286
116,36,287
117,33,286
118,34,286
119,34,286
120,35,286
121,34,286
122,36,288
123,34,286
124,35,286
125,35,287
126,36,287
127,35,286
128,36,287
129,33,286
130,33,287
131,35,286
132,34,286
133,35,286
134,35,286
135,36,287
136,35,289
137,34,286
138,36,286
139,34,286
140,34,286
141,36,287
142,34,289
143,35,286
144,35,287
145,34,286
146,36,287
147,34,287
148,35,286
149,33,286
150,34,286
151,35,286
152,35,286
153,34,286
154,35,286
155,36,286
156,36,286
157,35,286
158,35,286
159,35,286
160,35,286
161,34,286
162,36,286
163,36,286
164,35,286
165,35,286
166,35,286
167,36,286
168,34,289
169,16,290
170,33,286
171,35,286
172,36,286
173,35,286
174,34,286
175,16,288
176,36,286
177,36,286
178,36,286
179,35,286
