Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,30144
Max Erase Count: ,155
Min Erase Count: ,145
Avg Erase Count: ,150.720000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,2367
WAF is: ,1.084292

VB No,Valid Count,Erase Count
0,36,146
1,0,155
2,36,150
3,36,150
4,36,152
5,36,150
6,36,148
7,36,148
8,36,152
9,36,152
10,0,155
11,36,148
12,0,155
13,0,155
14,0,155
15,36,149
16,36,146
17,36,152
18,36,152
19,36,152
20,36,146
21,35,146
22,36,147
23,36,150
24,36,147
25,36,152
26,36,152
27,36,150
28,36,151
29,36,150
30,36,150
31,36,150
32,36,147
33,36,147
34,36,148
35,0,155
36,0,155
37,0,155
38,36,150
39,36,146
40,36,146
41,0,155
42,0,155
43,0,155
44,36,152
45,36,152
46,36,146
47,36,149
48,36,149
49,36,149
50,36,150
51,0,155
52,36,146
53,36,152
54,36,146
55,0,155
56,0,155
57,0,155
58,0,155
59,36,146
60,36,146
61,36,150
62,36,151
63,36,151
64,36,151
65,36,151
66,36,150
67,36,150
68,36,150
69,36,151
70,36,151
71,36,151
72,36,152
73,36,151
74,36,151
75,36,152
76,36,151
77,36,152
78,36,152
79,0,155
80,0,155
81,0,155
82,0,155
83,36,146
84,36,146
85,36,146
86,36,146
87,36,146
88,36,146
89,36,146
90,36,150
91,36,146
92,36,150
93,36,151
94,36,146
95,36,146
96,36,146
97,36,146
98,36,146
99,36,152
100,36,152
101,36,151
102,36,151
103,36,146
104,36,151
105,36,152
106,36,152
107,36,152
108,36,152
109,36,153
110,36,153
111,36,152
112,36,152
113,0,155
114,36,146
115,36,146
116,36,153
117,36,153
118,36,154
119,0,155
120,36,154
121,36,154
122,36,154
123,36,155
124,0,155
125,0,155
126,0,155
127,0,155
128,0,155
129,0,155
130,0,155
131,0,155
132,0,155
133,1,154
134,36,145
135,36,146
136,36,146
137,36,146
138,36,146
139,36,152
140,9,152
141,36,145
142,36,145
143,36,152
144,36,145
145,36,152
146,36,152
147,36,152
148,36,152
149,36,152
150,36,152
151,36,152
152,36,152
153,36,155
154,36,155
155,36,155
156,36,150
157,36,150
158,36,150
159,36,150
160,36,150
161,36,150
162,36,150
163,0,155
164,0,155
165,0,155
166,0,155
167,0,155
168,0,155
169,0,155
170,0,155
171,0,155
172,0,155
173,0,155
174,36,150
175,36,150
176,36,150
177,36,150
178,36,151
179,36,151
180,36,151
181,36,151
182,36,151
183,36,151
184,36,151
185,36,151
186,36,151
187,36,151
188,36,151
189,36,146
190,36,146
191,36,146
192,36,146
193,36,146
194,36,146
195,36,146
196,36,146
197,36,146
198,36,146
199,36,146


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,108,108,1,147,1
1,109,109,1,147,1
2,110,110,1,147,1
3,111,111,1,147,1
4,112,112,1,147,1
5,113,113,1,147,1
6,114,114,1,147,1
7,115,115,1,147,1
8,116,116,1,147,1
9,117,117,1,147,1
10,118,118,1,147,1
11,119,119,1,147,1
12,120,120,1,147,1
13,121,121,1,147,1
14,122,122,1,147,1
15,123,123,1,147,1
16,124,124,1,147,1
17,125,125,1,147,1
18,126,126,1,147,1
19,127,127,1,147,1
20,128,128,1,147,1
21,129,129,1,147,1
22,130,130,1,147,1
23,131,131,1,147,1
24,132,132,1,147,1
25,133,133,1,147,1
26,134,134,1,147,1
27,135,135,1,147,1
28,136,136,1,147,1
29,137,137,1,147,1
30,138,138,1,147,1
31,139,139,1,147,1
32,140,140,1,147,1
33,141,141,1,147,1
34,142,142,1,147,1
35,143,143,1,147,1
36,4294967295,65535,65535,155,0
37,4294967295,65535,65535,155,0
38,4294967295,65535,65535,155,0
39,4294967295,65535,65535,155,0
40,4294967295,65535,65535,155,0
41,4294967295,65535,65535,155,0
42,4294967295,65535,65535,155,0
43,4294967295,65535,65535,155,0
44,4294967295,65535,65535,155,0
45,4294967295,65535,65535,155,0
46,4294967295,65535,65535,155,0
47,4294967295,65535,65535,155,0
48,4294967295,65535,65535,155,0
49,4294967295,65535,65535,155,0
50,4294967295,65535,65535,155,0
51,4294967295,65535,65535,155,0
52,4294967295,65535,65535,155,0
53,4294967295,65535,65535,155,0
54,4294967295,65535,65535,155,0
55,4294967295,65535,65535,155,0
56,4294967295,65535,65535,155,0
57,4294967295,65535,65535,155,0
58,4294967295,65535,65535,155,0
59,4294967295,65535,65535,155,0
60,4294967295,65535,65535,155,0
61,4294967295,65535,65535,155,0
62,4294967295,65535,65535,155,0
63,4294967295,65535,65535,155,0
64,4294967295,65535,65535,155,0
65,4294967295,65535,65535,155,0
66,4294967295,65535,65535,155,0
67,4294967295,65535,65535,155,0
68,4294967295,65535,65535,155,0
69,4294967295,65535,65535,155,0
70,4294967295,65535,65535,155,0
71,4294967295,65535,65535,155,0
72,2700,2700,1,151,1
73,2701,2701,1,151,1
74,2702,2702,1,151,1
75,2703,2703,1,151,1
76,2704,2704,1,151,1
77,2705,2705,1,151,1
78,2706,2706,1,151,1
79,2707,2707,1,151,1
80,2708,2708,1,151,1
81,2709,2709,1,151,1
82,2710,2710,1,151,1
83,2711,2711,1,151,1
84,2712,2712,1,151,1
85,2713,2713,1,151,1
86,2714,2714,1,151,1
87,2715,2715,1,151,1
88,2716,2716,1,151,1
89,2717,2717,1,151,1
90,2718,2718,1,151,1
91,2719,2719,1,151,1
92,2720,2720,1,151,1
93,2721,2721,1,151,1
94,2722,2722,1,151,1
95,2723,2723,1,151,1
96,2724,2724,1,151,1
