Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,157392
Max Erase Count: ,2954
Min Erase Count: ,691
Avg Erase Count: ,786.960000
Total GC Count is: ,47576
Total Segmental GC Count is: ,249869
Total WL Count is: ,26791
WAF is: ,5.487245

VB No,Valid Count,Erase Count
0,31,792
1,32,874
2,30,1200
3,33,1098
4,30,2945
5,35,710
6,30,2396
7,35,702
8,34,748
9,30,720
10,30,2679
11,30,2954
12,31,835
13,31,864
14,32,707
15,36,1330
16,29,2520
17,32,1501
18,36,767
19,30,756
20,0,814
21,35,706
22,36,720
23,29,709
24,32,703
25,32,1657
26,30,801
27,31,692
28,31,696
29,29,719
30,32,2023
31,33,728
32,32,698
33,31,693
34,34,739
35,34,693
36,33,697
37,34,706
38,33,882
39,32,694
40,32,711
41,36,705
42,29,694
43,29,692
44,33,694
45,34,703
46,32,948
47,29,697
48,35,693
49,32,1740
50,35,694
51,0,719
52,33,695
53,30,707
54,32,695
55,33,692
56,31,720
57,29,985
58,32,692
59,34,693
60,33,696
61,30,693
62,0,693
63,35,693
64,32,693
65,35,693
66,30,694
67,30,694
68,33,693
69,32,692
70,34,697
71,33,692
72,32,910
73,33,694
74,34,693
75,29,1228
76,31,692
77,32,693
78,33,693
79,31,693
80,31,692
81,32,693
82,32,693
83,30,693
84,36,693
85,34,694
86,29,692
87,36,693
88,33,692
89,32,693
90,31,692
91,33,692
92,34,692
93,32,692
94,29,694
95,33,692
96,32,693
97,33,692
98,36,693
99,29,692
100,34,692
101,34,693
102,31,692
103,33,693
104,33,692
105,33,692
106,5,692
107,31,692
108,33,692
109,35,692
110,31,693
111,32,694
112,31,692
113,31,983
114,34,692
115,34,692
116,34,692
117,32,693
118,36,694
119,33,692
120,34,692
121,34,692
122,35,692
123,31,692
124,29,692
125,33,692
126,34,692
127,36,693
128,34,692
129,34,692
130,35,692
131,35,692
132,35,692
133,35,692
134,36,692
135,36,692
136,33,693
137,34,693
138,7,692
139,34,693
140,35,692
141,29,692
142,36,692
143,34,692
144,34,692
145,29,693
146,33,692
147,34,692
148,30,691
149,36,693
150,36,692
151,30,691
152,0,693
153,29,691
154,35,692
155,34,692
156,30,692
157,33,692
158,35,693
159,31,691
160,34,692
161,30,691
162,33,691
163,32,691
164,32,691
165,33,692
166,32,693
167,28,691
168,32,692
169,31,692
170,34,692
171,29,691
172,29,691
173,35,692
174,32,691
175,29,691
176,35,692
177,36,692
178,29,691
179,34,692
180,35,692
181,29,691
182,29,691
183,36,693
184,30,691
185,36,692
186,31,692
187,31,691
188,33,692
189,32,691
190,36,692
191,33,691
192,31,692
193,34,691
194,31,691
195,34,692
196,36,692
197,33,691
198,30,691
199,30,691


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,2034,2034,165,793,1
1,558,558,172,793,1
2,1617,1617,165,793,1
3,156,156,189,793,1
4,2853,2853,161,793,1
5,701,701,180,793,1
6,3777,3777,144,793,1
7,2035,2035,182,793,1
8,800,800,160,793,1
9,618,618,190,793,0
10,5831,5831,160,793,1
11,572,572,184,793,1
12,1974,1974,144,793,1
13,2014,2014,153,793,0
14,1716,1716,146,793,1
15,4584,4584,139,793,0
16,433,433,170,793,1
17,6112,6112,158,793,1
18,1380,1380,151,793,1
19,498,498,185,793,1
20,805,805,189,793,1
21,2313,2313,154,793,0
22,4934,4934,141,793,1
23,5907,5907,149,793,1
24,2386,2386,171,793,1
25,5133,5133,149,793,1
26,48,48,204,793,1
27,4807,4807,158,793,0
28,2267,2267,143,792,1
29,2524,2524,163,758,1
30,4819,4819,167,719,1
31,2970,2970,139,693,1
32,4638,4638,157,679,1
33,5407,5407,148,670,1
34,4038,4038,154,665,1
35,3432,3432,167,665,1
36,5488,5488,130,875,1
37,3340,3340,139,875,1
38,2640,2640,134,875,1
39,946,946,198,875,1
40,827,827,179,875,1
41,5212,5212,155,875,1
42,3178,3178,133,875,1
43,4273,4273,136,875,1
44,15,15,187,875,1
45,6057,6057,162,875,1
46,5123,5123,151,875,1
47,5576,5576,147,875,1
48,4305,4305,155,875,1
49,3358,3358,168,875,1
50,1085,1085,170,875,0
51,269,269,185,875,1
52,122,122,200,875,1
53,5987,5987,140,875,1
54,295,295,180,875,1
55,3491,3491,148,875,1
56,217,217,178,875,0
57,488,488,174,875,1
58,723,723,183,875,1
59,1695,1695,148,875,1
60,1726,1726,178,875,0
61,6226,6226,158,875,1
62,4220,4220,172,875,0
63,1447,1447,157,875,1
64,2938,2938,159,867,1
65,3444,3444,160,805,1
66,332,332,165,737,1
67,746,746,172,667,1
68,3065,3065,170,641,1
