Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,1562500
Max Erase Count: ,7813
Min Erase Count: ,7812
Avg Erase Count: ,7812.500000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,0
WAF is: ,1.000000

VB No,Valid Count,Erase Count
0,36,7813
1,36,7813
2,36,7813
3,36,7813
4,36,7813
5,36,7813
6,36,7813
7,36,7813
8,36,7813
9,36,7813
10,36,7813
11,36,7813
12,36,7813
13,36,7813
14,36,7813
15,36,7813
16,36,7813
17,36,7813
18,36,7813
19,36,7813
20,36,7813
21,36,7813
22,36,7813
23,36,7813
24,36,7813
25,36,7813
26,36,7813
27,36,7813
28,36,7813
29,36,7813
30,36,7813
31,36,7813
32,36,7813
33,36,7813
34,36,7813
35,36,7813
36,36,7813
37,36,7813
38,36,7813
39,36,7813
40,36,7813
41,36,7813
42,36,7813
43,36,7813
44,36,7813
45,36,7813
46,36,7813
47,36,7813
48,36,7813
49,36,7813
50,36,7813
51,36,7813
52,36,7813
53,36,7813
54,36,7813
55,36,7813
56,9,7813
57,0,7813
58,0,7813
59,0,7813
60,0,7813
61,0,7813
62,0,7813
63,0,7813
64,0,7813
65,0,7813
66,0,7813
67,0,7813
68,0,7813
69,0,7813
70,0,7813
71,0,7813
72,0,7813
73,0,7813
74,0,7813
75,0,7813
76,0,7813
77,0,7813
78,0,7813
79,0,7813
80,0,7813
81,0,7813
82,0,7813
83,0,7813
84,0,7813
85,0,7813
86,0,7813
87,0,7813
88,0,7813
89,0,7813
90,0,7813
91,0,7813
92,0,7813
93,0,7813
94,0,7813
95,0,7813
96,0,7813
97,0,7813
98,0,7813
99,0,7813
100,36,7812
101,36,7812
102,36,7812
103,36,7812
104,36,7812
105,36,7812
106,36,7812
107,36,7812
108,36,7812
109,36,7812
110,36,7812
111,36,7812
112,36,7812
113,36,7812
114,36,7812
115,36,7812
116,36,7812
117,36,7812
118,36,7812
119,36,7812
120,36,7812
121,36,7812
122,36,7812
123,36,7812
124,36,7812
125,36,7812
126,36,7812
127,36,7812
128,36,7812
129,36,7812
130,36,7812
131,36,7812
132,36,7812
133,36,7812
134,36,7812
135,36,7812
136,36,7812
137,36,7812
138,36,7812
139,36,7812
140,36,7812
141,36,7812
142,36,7812
143,36,7812
144,36,7812
145,36,7812
146,36,7812
147,36,7812
148,36,7812
149,36,7812
150,36,7812
151,36,7812
152,36,7812
153,36,7812
154,36,7812
155,36,7812
156,36,7812
157,36,7812
158,36,7812
159,36,7812
160,36,7812
161,36,7812
162,36,7812
163,36,7812
164,36,7812
165,36,7812
166,36,7812
167,36,7812
168,36,7812
169,36,7812
170,36,7812
171,36,7812
172,36,7812
173,36,7812
174,36,7812
175,36,7812
176,36,7812
177,36,7812
178,36,7812
179,36,7812
180,36,7812
181,36,7812
182,36,7812
183,36,7812
184,36,7812
185,36,7812
186,36,7812
187,36,7812
188,36,7812
189,36,7812
190,36,7812
191,36,7812
192,36,7812
193,36,7812
194,36,7812
195,36,7812
196,36,7812
197,36,7812
198,36,7812
199,36,7812


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,3600,3600,10001,7814,1
1,3601,3601,10001,7814,1
2,3602,3602,10001,7814,1
3,3603,3603,10001,7814,1
4,3604,3604,10001,7814,1
5,3605,3605,10001,7814,1
6,3606,3606,10001,7814,1
7,3607,3607,10001,7814,1
8,3608,3608,10001,7814,1
9,3609,3609,10001,7814,1
10,3610,3610,10001,7814,1
11,3611,3611,10001,7814,1
12,3612,3612,10001,7814,1
13,3613,3613,10001,7814,1
14,3614,3614,10001,7814,1
15,3615,3615,10001,7814,1
16,3616,3616,10001,7814,1
17,3617,3617,10001,7814,1
18,3618,3618,10001,7814,1
19,3619,3619,10001,7814,1
20,3620,3620,10001,7814,1
21,3621,3621,10001,7814,1
22,3622,3622,10001,7814,1
23,3623,3623,10001,7814,1
24,3624,3624,10001,7814,1
25,3625,3625,10001,7814,1
26,3626,3626,10001,7814,1
27,3627,3627,10001,7814,1
28,3628,3628,10001,7814,1
29,3629,3629,10001,7814,1
30,3630,3630,10001,7814,1
31,3631,3631,10001,7814,1
32,3632,3632,10001,7814,1
33,3633,3633,10001,7814,1
34,3634,3634,10001,7814,1
35,3635,3635,10001,7814,1
36,3636,3636,10001,7814,1
37,3637,3637,10001,7814,1
38,3638,3638,10001,7814,1
39,3639,3639,10001,7814,1
40,3640,3640,10001,7814,1
41,3641,3641,10001,7814,1
42,3642,3642,10001,7814,1
43,3643,3643,10001,7814,1
44,3644,3644,10001,7814,1
45,3645,3645,10001,7814,1
46,3646,3646,10001,7814,1
47,3647,3647,10001,7814,1
48,3648,3648,10001,7814,1
49,3649,3649,10001,7814,1
50,3650,3650,10001,7814,1
51,3651,3651,10001,7814,1
52,3652,3652,10001,7814,1
53,3653,3653,10001,7814,1
54,3654,3654,10001,7814,1
55,3655,3655,10001,7814,1
56,3656,3656,10001,7814,1
57,3657,3657,10001,7814,1
58,3658,3658,10001,7814,1
59,3659,3659,10001,7814,1
60,3660,3660,10001,7814,1
61,3661,3661,10001,7814,1
62,3662,3662,10001,7814,1
63,3663,3663,10001,7814,1
64,3664,3664,10001,7814,1
65,3665,3665,10001,7814,1
66,3666,3666,10001,7814,1
67,3667,3667,10001,7814,1
68,3668,3668,10001,7814,1
69,3669,3669,10001,7814,1
70,3670,3670,10001,7814,1
71,3671,3671,10001,7814,1
72,3672,3672,10001,7814,1
73,3673,3673,10001,7814,1
74,3674,3674,10001,7814,1
75,3675,3675,10001,7814,1
76,3676,3676,10001,7814,1
77,3677,3677,10001,7814,1
78,3678,3678,10001,7814,1
79,3679,3679,10001,7814,1
80,3680,3680,10001,7814,1
81,3681,3681,10001,7814,1
82,3682,3682,10001,7814,1
83,3683,3683,10001,7814,1
84,3684,3684,10001,7814,1
85,3685,3685,10001,7814,1
86,3686,3686,10001,7814,1
87,3687,3687,10001,7814,1
88,3688,3688,10001,7814,1
89,3689,3689,10001,7814,1
90,3690,3690,10001,7814,1
91,3691,3691,10001,7814,1
92,3692,3692,10001,7814,1
93,3693,3693,10001,7814,1
94,3694,3694,10001,7814,1
95,3695,3695,10001,7814,1
96,3696,3696,10001,7814,1
97,3697,3697,10001,7814,1
98,3698,3698,10001,7814,1
99,3699,3699,10001,7814,1
100,3700,3700,10001,7814,1
101,3701,3701,10001,7814,1
102,3702,3702,10001,7814,1
103,3703,3703,10001,7814,1
104,3704,3704,10001,7814,1
105,3705,3705,10001,7814,1
106,3706,3706,10001,7814,1
107,3707,3707,10001,7814,1
108,3708,3708,10001,7814,1
109,3709,3709,10001,7814,1
110,3710,3710,10001,7814,1
111,3711,3711,10001,7814,1
112,3712,3712,10001,7814,1
113,3713,3713,10001,7814,1
114,3714,3714,10001,7814,1
115,3715,3715,10001,7814,1
116,3716,3716,10001,7814,1
117,3717,3717,10001,7814,1
118,3718,3718,10001,7814,1
119,3719,3719,10001,7814,1
120,3720,3720,10001,7814,1
121,3721,3721,10001,7814,1
122,3722,3722,10001,7814,1
123,3723,3723,10001,7814,1
124,3724,3724,10001,7814,1
125,3725,3725,10001,7814,1
126,3726,3726,10001,7814,1
127,3727,3727,10001,7814,1
128,3728,3728,10001,7814,1
129,3729,3729,10001,7814,1
130,3730,3730,10001,7814,1
131,3731,3731,10001,7814,1
132,3732,3732,10001,7814,1
133,3733,3733,10001,7814,1
134,3734,3734,10001,7814,1
135,3735,3735,10001,7814,1
136,3736,3736,10001,7814,1
137,3737,3737,10001,7814,1
138,3738,3738,10001,7814,1
139,3739,3739,10001,7814,1
140,3740,3740,10001,7814,1
141,3741,3741,10001,7814,1
142,3742,3742,10001,7814,1
143,3743,3743,10001,7814,1
144,3744,3744,10001,7814,1
145,3745,3745,10001,7814,1
146,3746,3746,10001,7814,1
147,3747,3747,10001,7814,1
148,3748,3748,10001,7814,1
149,3749,3749,10001,7814,1
150,3750,3750,10001,7814,1
151,3751,3751,10001,7814,1
152,3752,3752,10001,7814,1
153,3753,3753,10001,7814,1
154,3754,3754,10001,7814,1
155,3755,3755,10001,7814,1
156,3756,3756,10001,7814,1
157,3757,3757,10001,7814,1
158,3758,3758,10001,7814,1
159,3759,3759,10001,7814,1
160,3760,3760,10001,7814,1
161,3761,3761,10001,7814,1
162,3762,3762,10001,7814,1
163,3763,3763,10001,7814,1
164,3764,3764,10001,7814,1
165,3765,3765,10001,7814,1
166,3766,3766,10001,7814,1
167,3767,3767,10001,7814,1
168,3768,3768,10001,7814,1
169,3769,3769,10001,7814,1
170,3770,3770,10001,7814,1
171,3771,3771,10001,7814,1
172,3772,3772,10001,7814,1
173,3773,3773,10001,7814,1
174,3774,3774,10001,7814,1
175,3775,3775,10001,7814,1
176,3776,3776,10001,7814,1
177,3777,3777,10001,7814,1
178,3778,3778,10001,7814,1
179,3779,3779,10001,7814,1
180,3780,3780,10001,7814,1
181,3781,3781,10001,7814,1
182,3782,3782,10001,7814,1
183,3783,3783,10001,7814,1
184,3784,3784,10001,7814,1
185,3785,3785,10001,7814,1
186,3786,3786,10001,7814,1
187,3787,3787,10001,7814,1
188,3788,3788,10001,7814,1
189,3789,3789,10001,7814,1
190,3790,3790,10001,7814,1
191,3791,3791,10001,7814,1
192,3792,3792,10001,7814,1
193,3793,3793,10001,7814,1
194,3794,3794,10001,7814,1
195,3795,3795,10001,7814,1
196,3796,3796,10001,7814,1
197,3797,3797,10001,7814,1
198,3798,3798,10001,7814,1
199,3799,3799,10001,7814,1
200,3800,3800,10001,7814,1
201,3801,3801,10001,7814,1
202,3802,3802,10001,7814,1
203,3803,3803,10001,7814,1
204,3804,3804,10001,7814,1
205,3805,3805,10001,7814,1
206,3806,3806,10001,7814,1
207,3807,3807,10001,7814,1
208,3808,3808,10001,7814,1
209,3809,3809,10001,7814,1
210,3810,3810,10001,7814,1
211,3811,3811,10001,7814,1
212,3812,3812,10001,7814,1
213,3813,3813,10001,7814,1
214,3814,3814,10001,7814,1
215,3815,3815,10001,7814,1
216,3816,3816,10001,7814,1
217,3817,3817,10001,7814,1
218,3818,3818,10001,7814,1
219,3819,3819,10001,7814,1
220,3820,3820,10001,7814,1
221,3821,3821,10001,7814,1
222,3822,3822,10001,7814,1
223,3823,3823,10001,7814,1
224,3824,3824,10001,7814,1
225,3825,3825,10001,7814,1
226,3826,3826,10001,7814,1
227,3827,3827,10001,7814,1
228,3828,3828,10001,7814,1
229,3829,3829,10001,7814,1
230,3830,3830,10001,7814,1
231,3831,3831,10001,7814,1
232,3832,3832,10001,7814,1
233,3833,3833,10001,7814,1
234,3834,3834,10001,7814,1
235,3835,3835,10001,7814,1
236,3836,3836,10001,7814,1
237,3837,3837,10001,7814,1
238,3838,3838,10001,7814,1
239,3839,3839,10001,7814,1
240,3840,3840,10001,7814,1
241,3841,3841,10001,7814,1
242,3842,3842,10001,7814,1
243,3843,3843,10001,7814,1
244,3844,3844,10001,7814,1
245,3845,3845,10001,7814,1
246,3846,3846,10001,7814,1
247,3847,3847,10001,7814,1
248,3848,3848,10001,7814,1
249,3849,3849,10001,7814,1
250,3850,3850,10001,7814,1
251,3851,3851,10001,7814,1
252,3852,3852,10001,7814,1
253,3853,3853,10001,7814,1
254,3854,3854,10001,7814,1
255,3855,3855,10001,7814,1
256,3856,3856,10001,7814,1
257,3857,3857,10001,7814,1
258,3858,3858,10001,7814,1
259,3859,3859,10001,7814,1
260,3860,3860,10001,7814,1
261,3861,3861,10001,7814,1
262,3862,3862,10001,7814,1
263,3863,3863,10001,7814,1
264,3864,3864,10001,7814,1
265,3865,3865,10001,7814,1
266,3866,3866,10001,7814,1
267,3867,3867,10001,7814,1
268,3868,3868,10001,7814,1
269,3869,3869,10001,7814,1
270,3870,3870,10001,7814,1
271,3871,3871,10001,7814,1
272,3872,3872,10001,7814,1
273,3873,3873,10001,7814,1
274,3874,3874,10001,7814,1
275,3875,3875,10001,7814,1
276,3876,3876,10001,7814,1
277,3877,3877,10001,7814,1
278,3878,3878,10001,7814,1
279,3879,3879,10001,7814,1
280,3880,3880,10001,7814,1
281,3881,3881,10001,7814,1
282,3882,3882,10001,7814,1
283,3883,3883,10001,7814,1
284,3884,3884,10001,7814,1
285,3885,3885,10001,7814,1
286,3886,3886,10001,7814,1
287,3887,3887,10001,7814,1
288,3888,3888,10001,7814,1
289,3889,3889,10001,7814,1
290,3890,3890,10001,7814,1
291,3891,3891,10001,7814,1
292,3892,3892,10001,7814,1
