Loop,Nand Write,Host Write,WAF
100,6829,6829,1.000000
200,6929,6929,1.000000
300,7029,7029,1.000000
400,7129,7129,1.000000
500,7229,7229,1.000000
600,7329,7329,1.000000
700,7429,7429,1.000000
800,7529,7529,1.000000
900,7629,7629,1.000000
1000,7729,7729,1.000000
1100,7829,7829,1.000000
1200,7929,7929,1.000000
1300,8029,8029,1.000000
1400,8129,8129,1.000000
1500,8229,8229,1.000000
1600,8329,8329,1.000000
1700,8429,8429,1.000000
1800,8529,8529,1.000000
1900,8629,8629,1.000000
2000,8729,8729,1.000000
2100,8829,8829,1.000000
2200,8929,8929,1.000000
2300,9029,9029,1.000000
2400,9129,9129,1.000000
2500,9229,9229,1.000000
2600,9329,9329,1.000000
2700,9429,9429,1.000000
2800,9529,9529,1.000000
2900,9629,9629,1.000000
3000,9729,9729,1.000000
3100,9829,9829,1.000000
3200,9929,9929,1.000000
3300,10029,10029,1.000000
3400,10129,10129,1.000000
3500,10229,10229,1.000000
3600,10329,10329,1.000000
3700,10429,10429,1.000000
3800,10529,10529,1.000000
3900,10629,10629,1.000000
4000,10729,10729,1.000000
4100,10829,10829,1.000000
4200,10929,10929,1.000000
4300,11029,11029,1.000000
4400,11129,11129,1.000000
4500,11229,11229,1.000000
4600,11329,11329,1.000000
4700,11429,11429,1.000000
4800,11564,11529,1.003036
4900,11700,11629,1.006105
5000,11800,11729,1.006053
5100,11936,11829,1.009046
5200,12072,11929,1.011988
5300,12172,12029,1.011888
5400,12308,12129,1.014758
5500,12444,12229,1.017581
5600,12544,12329,1.017439
5700,12680,12429,1.020195
5800,12816,12529,1.022907
5900,12916,12629,1.022725
6000,13052,12729,1.025375
6100,13188,12829,1.027983
6200,13288,12929,1.027767
6300,13424,13029,1.030317
6400,13524,13129,1.030086
6500,13660,13229,1.032580
6600,13796,13329,1.035036
6700,13932,13429,1.037456
6800,14032,13529,1.037179
6900,14168,13629,1.039548
7000,14268,13729,1.039260
7100,14404,13829,1.041579
7200,14504,13929,1.041281
7300,14640,14029,1.043553
7400,14776,14129,1.045792
7500,14876,14229,1.045471
7600,15012,14329,1.047666
7700,15112,14429,1.047335
7800,15248,14529,1.049487
7900,15384,14629,1.051610
8000,15484,14729,1.051259
8100,15620,14829,1.053341
8200,15720,14929,1.052984
8300,15856,15029,1.055027
8400,15992,15129,1.057043
8500,16092,15229,1.056668
8600,16228,15329,1.058647
8700,16328,15429,1.058267
8800,16464,15529,1.060210
8900,16564,15629,1.059825
9000,16700,15729,1.061733
9100,16800,15829,1.061343
9200,16936,15929,1.063218
9300,17072,16029,1.065070
9400,17172,16129,1.064666
9500,17308,16229,1.066486
9600,17408,16329,1.066079
9700,17544,16429,1.067868
9800,17680,16529,1.069635
9900,17780,16629,1.069216
10000,17916,16729,1.070955
10100,18016,16829,1.070533
10200,18152,16929,1.072243
10300,18288,17029,1.073933
10400,18388,17129,1.073501
10500,18524,17229,1.075164
10600,18624,17329,1.074730
10700,18760,17429,1.076367
10800,18860,17529,1.075931
10900,18996,17629,1.077543
11000,19132,17729,1.079136
11100,19232,17829,1.078692
11200,19368,17929,1.080261
11300,19468,18029,1.079816
11400,19604,18129,1.081361
11500,19740,18229,1.082890
11600,19840,18329,1.082438
11700,19976,18429,1.083944
11800,20076,18529,1.083491
11900,20212,18629,1.084975
12000,20312,18729,1.084521
12100,20448,18829,1.085984
12200,20584,18929,1.087432
12300,20684,19029,1.086973
12400,20820,19129,1.088400
12500,20920,19229,1.087940
12600,21056,19329,1.089348
12700,21156,19429,1.088888
12800,21292,19529,1.090276
12900,21428,19629,1.091650
13000,21528,19729,1.091186
13100,21664,19829,1.092541
13200,21764,19929,1.092077
13300,21900,20029,1.093415
13400,22000,20129,1.092950
13500,22136,20229,1.094271
13600,22236,20329,1.093807
13700,22372,20429,1.095110
13800,22508,20529,1.096400
13900,22608,20629,1.095933
14000,22744,20729,1.097207
14100,22844,20829,1.096740
14200,22980,20929,1.097998
14300,23116,21029,1.099244
14400,23216,21129,1.098774
14500,23352,21229,1.100005
14600,23452,21329,1.099536
14700,23588,21429,1.100751
14800,23724,21529,1.101956
14900,23824,21629,1.101484
15000,23960,21729,1.102674
15100,24060,21829,1.102203
15200,24196,21929,1.103379
15300,24296,22029,1.102910
15400,24432,22129,1.104072
15500,24568,22229,1.105223
15600,24668,22329,1.104752
15700,24804,22429,1.105890
15800,24904,22529,1.105420
15900,25040,22629,1.106545
16000,25176,22729,1.107660
16100,25276,22829,1.107188
16200,25412,22929,1.108291
16300,25512,23029,1.107821
16400,25648,23129,1.108911
16500,25748,23229,1.108442
16600,25884,23329,1.109520
16700,25984,23429,1.109053
16800,26120,23529,1.110119
16900,26256,23629,1.111177
17000,26356,23729,1.110708
17100,26492,23829,1.111755
17200,26592,23929,1.111288
17300,26728,24029,1.112323
17400,26864,24129,1.113349
17500,26964,24229,1.112881
17600,27100,24329,1.113897
17700,27200,24429,1.113431
17800,27336,24529,1.114436
17900,27472,24629,1.115433
18000,27572,24729,1.114966
18100,27708,24829,1.115953
18200,27808,24929,1.115488
18300,27944,25029,1.116465
18400,28080,25129,1.117434
18500,28180,25229,1.116969
18600,28316,25329,1.117928
18700,28416,25429,1.117464
18800,28552,25529,1.118414
18900,28652,25629,1.117952
19000,28788,25729,1.118893
19100,28924,25829,1.119827
19200,29024,25929,1.119364
19300,29160,26029,1.120289
19400,29260,26129,1.119829
19500,29396,26229,1.120744
19600,29532,26329,1.121653
19700,29632,26429,1.121193
19800,29768,26529,1.122093
19900,29868,26629,1.121634
20000,30004,26729,1.122526
20100,30104,26829,1.122069
20200,30240,26929,1.122953
20300,30340,27029,1.122498
20400,30476,27129,1.123374
20500,30612,27229,1.124243
20600,30712,27329,1.123788
20700,30848,27429,1.124649
20800,30948,27529,1.124196
20900,31084,27629,1.125050
21000,31220,27729,1.125897
21100,31320,27829,1.125445
21200,31456,27929,1.126285
21300,31556,28029,1.125834
21400,31692,28129,1.126666
21500,31828,28229,1.127493
21600,31928,28329,1.127043
21700,32064,28429,1.127862
21800,32164,28529,1.127414
21900,32300,28629,1.128227
22000,32436,28729,1.129033
22100,32536,28829,1.128586
22200,32672,28929,1.129386
22300,32772,29029,1.128940
22400,32908,29129,1.129733
22500,33008,29229,1.129289
22600,33144,29329,1.130076
22700,33280,29429,1.130857
22800,33380,29529,1.130414
22900,33516,29629,1.131189
23000,33616,29729,1.130748
23100,33752,29829,1.131516
23200,33852,29929,1.131077
23300,33988,30029,1.131839
23400,34088,30129,1.131402
23500,34224,30229,1.132158
23600,34360,30329,1.132909
23700,34460,30429,1.132472
23800,34596,30529,1.133218
23900,34696,30629,1.132783
24000,34832,30729,1.133522
24100,34968,30829,1.134257
24200,35068,30929,1.133823
24300,35204,31029,1.134552
24400,35304,31129,1.134119
24500,35440,31229,1.134843
24600,35576,31329,1.135561
24700,35676,31429,1.135130
24800,35812,31529,1.135843
24900,35912,31629,1.135414
25000,36048,31729,1.136122
25100,36184,31829,1.136825
25200,36284,31929,1.136396
25300,36420,32029,1.137095
25400,36556,32129,1.137788
25500,36656,32229,1.137361
25600,36792,32329,1.138049
25700,36892,32429,1.137624
25800,37028,32529,1.138307
25900,37164,32629,1.138987
26000,37264,32729,1.138562
26100,37400,32829,1.139237
26200,37500,32929,1.138814
26300,37636,33029,1.139483
26400,37772,33129,1.140149
26500,37872,33229,1.139727
26600,38008,33329,1.140388
26700,38144,33429,1.141045
26800,38244,33529,1.140625
26900,38380,33629,1.141277
27000,38480,33729,1.140858
27100,38616,33829,1.141506
27200,38752,33929,1.142150
27300,38852,34029,1.141732
27400,38988,34129,1.142372
27500,39088,34229,1.141956
27600,39224,34329,1.142591
27700,39360,34429,1.143222
27800,39460,34529,1.142807
27900,39596,34629,1.143435
28000,39696,34729,1.143022
28100,39832,34829,1.143645
28200,39968,34929,1.144264
28300,40068,35029,1.143852
28400,40204,35129,1.144468
28500,40340,35229,1.145079
28600,40440,35329,1.144669
28700,40576,35429,1.145276
28800,40676,35529,1.144868
28900,40812,35629,1.145471
29000,40948,35729,1.146072
29100,41048,35829,1.145664
29200,41184,35929,1.146261
29300,41284,36029,1.145855
29400,41420,36129,1.146447
29500,41556,36229,1.147037
29600,41656,36329,1.146632
29700,41792,36429,1.147218
29800,41892,36529,1.146815
29900,42028,36629,1.147397
30000,42164,36729,1.147976
30100,42264,36829,1.147574
30200,42400,36929,1.148149
30300,42500,37029,1.147749
30400,42636,37129,1.148321
30500,42772,37229,1.148889
30600,42872,37329,1.148490
30700,43008,37429,1.149056
30800,43108,37529,1.148658
30900,43244,37629,1.149220
31000,43380,37729,1.149779
31100,43480,37829,1.149383
31200,43616,37929,1.149938
31300,43752,38029,1.150490
31400,43852,38129,1.150096
31500,43988,38229,1.150645
31600,44088,38329,1.150252
31700,44224,38429,1.150798
31800,44360,38529,1.151341
31900,44460,38629,1.150949
32000,44596,38729,1.151489
32100,44696,38829,1.151098
32200,44832,38929,1.151635
32300,44968,39029,1.152169
32400,45068,39129,1.151780
32500,45204,39229,1.152311
32600,45340,39329,1.152839
