Loop,Nand Write,Host Write,WAF
100,6416,6416,1.000000
200,6516,6516,1.000000
300,6616,6616,1.000000
400,6716,6716,1.000000
500,6816,6816,1.000000
600,7068,6916,1.021978
700,7368,7016,1.050171
800,7668,7116,1.077572
900,8083,7216,1.120150
1000,8584,7316,1.173319
1100,9028,7416,1.217368
1200,9618,7516,1.279670
1300,10119,7616,1.328650
1400,10617,7716,1.375972
1500,11089,7816,1.418756
1600,11529,7916,1.456417
1700,11970,8016,1.493263
1800,12468,8116,1.536225
1900,12937,8216,1.574611
2000,13349,8316,1.605219
2100,13787,8416,1.638189
2200,14256,8516,1.674025
2300,14724,8616,1.708914
2400,15192,8716,1.743001
2500,15576,8816,1.766788
2600,16043,8916,1.799349
2700,16483,9016,1.828194
2800,16978,9116,1.862440
2900,17362,9216,1.883898
3000,17830,9316,1.913912
3100,18329,9416,1.946580
3200,18828,9516,1.978562
3300,19330,9616,2.010191
3400,19775,9716,2.035303
3500,20276,9816,2.065607
3600,20806,9916,2.098225
3700,21279,10016,2.124501
3800,21691,10116,2.144227
3900,22219,10216,2.174922
4000,22720,10316,2.202404
4100,23191,10416,2.226478
4200,23691,10516,2.252853
4300,24134,10616,2.273361
4400,24606,10716,2.296193
4500,25134,10816,2.323780
4600,25636,10916,2.348479
4700,26048,11016,2.364561
4800,26517,11116,2.385480
4900,26985,11216,2.405938
5000,27454,11316,2.426122
5100,27898,11416,2.443763
5200,28366,11516,2.463182
5300,28864,11616,2.484848
5400,29334,11716,2.503756
5500,29775,11816,2.519888
5600,30248,11916,2.538436
5700,30748,12016,2.558921
5800,31217,12116,2.576510
5900,31686,12216,2.593811
6000,32185,12316,2.613267
6100,32630,12416,2.628061
6200,33101,12516,2.644695
6300,33599,12616,2.663205
6400,34096,12716,2.681346
6500,34480,12816,2.690387
6600,34949,12916,2.705869
6700,35479,13016,2.725799
6800,35979,13116,2.743138
6900,36480,13216,2.760291
7000,36864,13316,2.768399
7100,37392,13416,2.787120
7200,37893,13516,2.803566
7300,38363,13616,2.817494
7400,38806,13716,2.829251
7500,39274,13816,2.842646
7600,39742,13916,2.855849
7700,40210,14016,2.868864
7800,40681,14116,2.881907
7900,41122,14216,2.892656
8000,41623,14316,2.907446
8100,42122,14416,2.921892
8200,42593,14516,2.934211
8300,43034,14616,2.944308
8400,43532,14716,2.958141
8500,43970,14816,2.967738
8600,44467,14916,2.981161
8700,44967,15016,2.994606
8800,45406,15116,3.003837
8900,45847,15216,3.013078
9000,46317,15316,3.024092
9100,46785,15416,3.034834
9200,47225,15516,3.043632
9300,47664,15616,3.052254
9400,48104,15716,3.060830
9500,48631,15816,3.074798
9600,49103,15916,3.085134
9700,49574,16016,3.095280
9800,50072,16116,3.106974
9900,50512,16216,3.114948
10000,50980,16316,3.124540
10100,51395,16416,3.130787
10200,51867,16516,3.140409
10300,52367,16616,3.151601
10400,52898,16716,3.164513
10500,53400,16816,3.175547
10600,53874,16916,3.184795
10700,54374,17016,3.195463
10800,54787,17116,3.200923
10900,55316,17216,3.213058
11000,55760,17316,3.220143
11100,56200,17416,3.226918
11200,56699,17516,3.236983
11300,57200,17616,3.247048
11400,57640,17716,3.253556
11500,58081,17816,3.260047
11600,58640,17916,3.273052
11700,59079,18016,3.279252
11800,59547,18116,3.286984
11900,59960,18216,3.291612
12000,60491,18316,3.302632
12100,60961,18416,3.310219
12200,61433,18516,3.317833
12300,61961,18616,3.328373
12400,62375,18716,3.332710
12500,62906,18816,3.343219
12600,63438,18916,3.353669
12700,63939,19016,3.362379
12800,64354,19116,3.366499
12900,64826,19216,3.373543
13000,65324,19316,3.381860
13100,65794,19416,3.388649
13200,66206,19516,3.392396
13300,66678,19616,3.399164
13400,67208,19716,3.408805
13500,67709,19816,3.416885
13600,68239,19916,3.426341
13700,68624,20016,3.428457
13800,69094,20116,3.434778
13900,69592,20216,3.442422
14000,70091,20316,3.450039
14100,70563,20416,3.456260
14200,70975,20516,3.459495
14300,71475,20616,3.466967
14400,71974,20716,3.474319
14500,72441,20816,3.480063
14600,72825,20916,3.481784
14700,73293,21016,3.487486
14800,73764,21116,3.493275
14900,74292,21216,3.501697
15000,74736,21316,3.506099
15100,75208,21416,3.511767
15200,75708,21516,3.518684
15300,76238,21616,3.526925
15400,76738,21716,3.533708
15500,77124,21816,3.535204
15600,77652,21916,3.543165
15700,78152,22016,3.549782
15800,78622,22116,3.554983
15900,79092,22216,3.560137
16000,79532,22316,3.563900
16100,80002,22416,3.568969
16200,80501,22516,3.575280
16300,80969,22616,3.580164
16400,81409,22716,3.583774
16500,81907,22816,3.589893
16600,82379,22916,3.594825
16700,82849,23016,3.599626
16800,83346,23116,3.605555
16900,83759,23216,3.607814
17000,84231,23316,3.612584
17100,84704,23416,3.617356
17200,85229,23516,3.624298
17300,85643,23616,3.626482
17400,86111,23716,3.630924
17500,86551,23816,3.634154
17600,87048,23916,3.639739
17700,87519,24016,3.644196
17800,87961,24116,3.647413
17900,88430,24216,3.651718
18000,88872,24316,3.654877
18100,89402,24416,3.661615
18200,89844,24516,3.664709
18300,90318,24616,3.669077
18400,90846,24716,3.675595
18500,91348,24816,3.681012
18600,91846,24916,3.686226
18700,92286,25016,3.689079
18800,92758,25116,3.693184
18900,93258,25216,3.698366
19000,93696,25316,3.701059
19100,94080,25416,3.701605
19200,94577,25516,3.706576
19300,95044,25616,3.710337
19400,95514,25716,3.714186
19500,95983,25816,3.717966
19600,96428,25916,3.720790
19700,96928,26016,3.725707
19800,97459,26116,3.731774
19900,97961,26216,3.736688
20000,98375,26316,3.738220
20100,98875,26416,3.742997
20200,99407,26516,3.748944
20300,99906,26616,3.753607
20400,100375,26716,3.757112
20500,100817,26816,3.759584
20600,101287,26916,3.763078
20700,101814,27016,3.768656
20800,102256,27116,3.771058
20900,102696,27216,3.773369
21000,103136,27316,3.775663
21100,103632,27416,3.779982
21200,104101,27516,3.783290
21300,104542,27616,3.785559
21400,104983,27716,3.787812
21500,105510,27816,3.793141
21600,105951,27916,3.795350
21700,106421,28016,3.798579
21800,106864,28116,3.800825
21900,107363,28216,3.805040
22000,107863,28316,3.809260
22100,108390,28416,3.814400
22200,108831,28516,3.816489
22300,109273,28616,3.818598
22400,109746,28716,3.821772
22500,110273,28816,3.826798
22600,110743,28916,3.829817
22700,111185,29016,3.831851
22800,111654,29116,3.834799
22900,112154,29216,3.838787
23000,112627,29316,3.841827
23100,113124,29416,3.845662
23200,113568,29516,3.847676
23300,114099,29616,3.852613
23400,114571,29716,3.855532
23500,115067,29816,3.859237
23600,115451,29916,3.859172
23700,115950,30016,3.862940
23800,116478,30116,3.867645
23900,116918,30216,3.869407
24000,117359,30316,3.871190
24100,117800,30416,3.872962
24200,118295,30516,3.876491
24300,118767,30616,3.879246
24400,119239,30716,3.881983
24500,119682,30816,3.883762
24600,120210,30916,3.888278
24700,120650,31016,3.889928
24800,121119,31116,3.892499
24900,121617,31216,3.895983
25000,122000,31316,3.895772
25100,122530,31416,3.900242
25200,122970,31516,3.901828
25300,123466,31616,3.905175
25400,123849,31716,3.904938
25500,124317,31816,3.907374
25600,124756,31916,3.908886
25700,125253,32016,3.912200
25800,125723,32116,3.914653
25900,126163,32216,3.916160
26000,126604,32316,3.917688
26100,127076,32416,3.920163
26200,127604,32516,3.924345
26300,128046,32616,3.925865
26400,128519,32716,3.928323
26500,128991,32816,3.930735
26600,129490,32916,3.933953
26700,129960,33016,3.936273
26800,130401,33116,3.937704
26900,130840,33216,3.939066
27000,131338,33316,3.942190
27100,131776,33416,3.943500
27200,132188,33516,3.944027
27300,132627,33616,3.945353
27400,133097,33716,3.947592
27500,133596,33816,3.950674
27600,134065,33916,3.952854
27700,134538,34016,3.955139
27800,135066,34116,3.959022
27900,135566,34216,3.962065
28000,136066,34316,3.965089
28100,136510,34416,3.966469
28200,136983,34516,3.968681
28300,137454,34616,3.970823
28400,137985,34716,3.974680
28500,138459,34816,3.976878
28600,138932,34916,3.979035
28700,139463,35016,3.982836
28800,139934,35116,3.984907
28900,140404,35216,3.986938
29000,140876,35316,3.989013
29100,141370,35416,3.991699
29200,141812,35516,3.992905
29300,142306,35616,3.995564
29400,142744,35716,3.996640
29500,143156,35816,3.996985
29600,143596,35916,3.998107
29700,144064,36016,4.000000
29800,144564,36116,4.002769
29900,145007,36216,4.003949
30000,145477,36316,4.005865
30100,145978,36416,4.008623
30200,146506,36516,4.012104
30300,146919,36616,4.012426
30400,147360,36716,4.013509
30500,147800,36816,4.014559
30600,148329,36916,4.018014
30700,148798,37016,4.019829
30800,149212,37116,4.020153
30900,149683,37216,4.022007
31000,150212,37316,4.025405
31100,150685,37416,4.027288
31200,151128,37516,4.028361
31300,151600,37616,4.030200
31400,152158,37716,4.034309
31500,152599,37816,4.035303
31600,153128,37916,4.038612
31700,153571,38016,4.039641
31800,154011,38116,4.040587
31900,154509,38216,4.043045
32000,154976,38316,4.044681
32100,155446,38416,4.046387
32200,155857,38516,4.046552
32300,156326,38616,4.048218
32400,156823,38716,4.050599
32500,157295,38816,4.052324
32600,157738,38916,4.053294
32700,158179,39016,4.054209
32800,158650,39116,4.055885
32900,159147,39216,4.058216
33000,159587,39316,4.059085
33100,160000,39416,4.059265
33200,160467,39516,4.060811
33300,160964,39616,4.063106
33400,161404,39716,4.063954
33500,161816,39816,4.064095
33600,162284,39916,4.065638
33700,162755,40016,4.067248
33800,163282,40116,4.070246
33900,163695,40216,4.070395
34000,164165,40316,4.071957
34100,164663,40416,4.074203
34200,165133,40516,4.075748
34300,165603,40616,4.077285
34400,166015,40716,4.077390
34500,166543,40816,4.080336
34600,167014,40916,4.081875
34700,167515,41016,4.084138
34800,167983,41116,4.085587
34900,168396,41216,4.085695
35000,168865,41316,4.087158
35100,169335,41416,4.088637
35200,169834,41516,4.090808
35300,170218,41616,4.090206
35400,170746,41716,4.093058
35500,171184,41816,4.093744
35600,171684,41916,4.095906
35700,172155,42016,4.097368
35800,172598,42116,4.098157
35900,173100,42216,4.100341
36000,173596,42316,4.102373
36100,174065,42416,4.103758
36200,174507,42516,4.104502
36300,175008,42616,4.106627
36400,175479,42716,4.108039
36500,175951,42816,4.109468
36600,176477,42916,4.112149
36700,176890,43016,4.112191
36800,177357,43116,4.113485
36900,177796,43216,4.114124
37000,178292,43316,4.116077
37100,178704,43416,4.116086
37200,179206,43516,4.118163
37300,179674,43616,4.119452
37400,180144,43716,4.120780
37500,180612,43816,4.122056
37600,181023,43916,4.122028
37700,181521,44016,4.123978
37800,181991,44116,4.125283
37900,182488,44216,4.127194
38000,182872,44316,4.126546
38100,183342,44416,4.127837
38200,183840,44516,4.129751
38300,184340,44616,4.131702
38400,184868,44716,4.134270
38500,185253,44816,4.133635
38600,185783,44916,4.136232
38700,186254,45016,4.137507
38800,186751,45116,4.139352
38900,187135,45216,4.138690
39000,187636,45316,4.140613
39100,188136,45416,4.142505
39200,188635,45516,4.144367
39300,189108,45616,4.145651
39400,189549,45716,4.146229
39500,190050,45816,4.148114
39600,190551,45916,4.149991
39700,191021,46016,4.151187
39800,191492,46116,4.152398
39900,191992,46216,4.154232
40000,192464,46316,4.155454
40100,192992,46416,4.157877
40200,193432,46516,4.158397
40300,193872,46616,4.158915
40400,194312,46716,4.159431
40500,194783,46816,4.160607
40600,195252,46916,4.161736
40700,195693,47016,4.162264
40800,196161,47116,4.163363
40900,196632,47216,4.164521
41000,197132,47316,4.166286
41100,197603,47416,4.167433
41200,198044,47516,4.167943
41300,198515,47616,4.169082
41400,199012,47716,4.170760
41500,199480,47816,4.171825
41600,199922,47916,4.172343
41700,200334,48016,4.172234
41800,200862,48116,4.174537
41900,201302,48216,4.175004
42000,201743,48316,4.175491
42100,202183,48416,4.175954
42200,202711,48516,4.178230
42300,203151,48616,4.178686
42400,203619,48716,4.179715
42500,204062,48816,4.180228
42600,204474,48916,4.180105
42700,204971,49016,4.181716
42800,205443,49116,4.182812
42900,205886,49216,4.183314
43000,206384,49316,4.184930
43100,206852,49416,4.185932
43200,207351,49516,4.187556
43300,207852,49616,4.189213
43400,208295,49716,4.189697
43500,208796,49816,4.191344
43600,209324,49916,4.193525
43700,209735,50016,4.193358
43800,210203,50116,4.194329
43900,210614,50216,4.194161
44000,211082,50316,4.195127
44100,211522,50416,4.195533
44200,211987,50516,4.196433
44300,212370,50616,4.195709
44400,212869,50716,4.197275
44500,213337,50816,4.198225
44600,213834,50916,4.199741
44700,214306,51016,4.200761
44800,214692,51116,4.200094
44900,215190,51216,4.201617
45000,215719,51316,4.203738
45100,216191,51416,4.204742
45200,216635,51516,4.205198
45300,217106,51616,4.206176
45400,217605,51716,4.207692
45500,218075,51816,4.208642
45600,218518,51916,4.209068
45700,218959,52016,4.209455
45800,219455,52116,4.210895
45900,219924,52216,4.211812
46000,220396,52316,4.212784
46100,220838,52416,4.213179
46200,221277,52516,4.213516
46300,221745,52616,4.214402
46400,222214,52716,4.215305
46500,222628,52816,4.215162
46600,223158,52916,4.217212
46700,223629,53016,4.218142
46800,224129,53116,4.219614
46900,224625,53216,4.221005
47000,225070,53316,4.221434
47100,225543,53416,4.222387
47200,226042,53516,4.223821
47300,226574,53616,4.225865
47400,227016,53716,4.226227
47500,227427,53816,4.226011
47600,227896,53916,4.226871
47700,228392,54016,4.228229
47800,228862,54116,4.229100
47900,229304,54216,4.229453
48000,229809,54316,4.230963
48100,230339,54416,4.232928
48200,230842,54516,4.234390
48300,231374,54616,4.236378
48400,231760,54716,4.235690
48500,232289,54816,4.237613
48600,232791,54916,4.239038
48700,233358,55016,4.241639
48800,233865,55116,4.243142
48900,234458,55216,4.246197
49000,234969,55316,4.247758
49100,235560,55416,4.250758
49200,236033,55516,4.251621
49300,236505,55616,4.252463
49400,237004,55716,4.253787
49500,237476,55816,4.254622
49600,237949,55916,4.255472
49700,238391,56016,4.255766
49800,238986,56116,4.258785
49900,239551,56216,4.261260
50000,240114,56316,4.263691
50100,240642,56416,4.265492
50200,241026,56516,4.264739
50300,241525,56616,4.266020
50400,241967,56716,4.266292
50500,242469,56816,4.267618
50600,242881,56916,4.267359
50700,243410,57016,4.269153
50800,243909,57116,4.270415
50900,244410,57216,4.271707
51000,244881,57316,4.272472
51100,245326,57416,4.272781
51200,245797,57516,4.273541
51300,246295,57616,4.274767
51400,246914,57716,4.278086
51500,247389,57816,4.278902
51600,248036,57916,4.282685
51700,248603,58016,4.285077
51800,249205,58116,4.288062
51900,249804,58216,4.290985
52000,250344,58316,4.292887
52100,250909,58416,4.295210
52200,251536,58516,4.298585
52300,252101,58616,4.300891
52400,252635,58716,4.302660
52500,253172,58816,4.304475
52600,253827,58916,4.308286
52700,254414,59016,4.310933
52800,254859,59116,4.311168
52900,255424,59216,4.313429
53000,256015,59316,4.316120
53100,256579,59416,4.318349
53200,257140,59516,4.320519
53300,257615,59616,4.321239
53400,258206,59716,4.323900
53500,258769,59816,4.326083
53600,259332,59916,4.328260
53700,259924,60016,4.330912
53800,260460,60116,4.332624
53900,260961,60216,4.333749
54000,261495,60316,4.335417
54100,262025,60416,4.337013
54200,262528,60516,4.338159
54300,263058,60616,4.339745
54400,263615,60716,4.341772
54500,264181,60816,4.343939
54600,264690,60916,4.345164
54700,265220,61016,4.346729
54800,265817,61116,4.349385
54900,266381,61216,4.351493
55000,266946,61316,4.353611
55100,267481,61416,4.355233
