Loop,Nand Write,Host Write,WAF
100,13456,13456,1.000000
200,20184,20184,1.000000
300,26912,26912,1.000000
400,33640,33640,1.000000
500,40368,40368,1.000000
600,47096,47096,1.000000
700,53824,53824,1.000000
800,60552,60552,1.000000
900,67280,67280,1.000000
1000,74008,74008,1.000000
1100,80736,80736,1.000000
1200,87464,87464,1.000000
1300,94192,94192,1.000000
1400,100920,100920,1.000000
1500,107648,107648,1.000000
1600,114376,114376,1.000000
1700,121104,121104,1.000000
1800,127832,127832,1.000000
1900,134560,134560,1.000000
2000,141288,141288,1.000000
2100,148016,148016,1.000000
2200,154744,154744,1.000000
2300,161472,161472,1.000000
2400,168200,168200,1.000000
2500,174928,174928,1.000000
2600,181656,181656,1.000000
2700,188384,188384,1.000000
2800,195112,195112,1.000000
2900,201840,201840,1.000000
3000,208568,208568,1.000000
3100,215296,215296,1.000000
3200,222024,222024,1.000000
3300,228752,228752,1.000000
3400,235480,235480,1.000000
3500,242208,242208,1.000000
3600,248936,248936,1.000000
3700,255664,255664,1.000000
3800,262392,262392,1.000000
3900,269120,269120,1.000000
4000,275848,275848,1.000000
4100,282576,282576,1.000000
4200,289304,289304,1.000000
4300,296032,296032,1.000000
4400,302760,302760,1.000000
4500,309488,309488,1.000000
4600,316216,316216,1.000000
4700,322944,322944,1.000000
4800,329672,329672,1.000000
4900,336400,336400,1.000000
5000,343128,343128,1.000000
5100,349856,349856,1.000000
5200,356584,356584,1.000000
5300,363312,363312,1.000000
5400,370040,370040,1.000000
5500,376768,376768,1.000000
5600,383496,383496,1.000000
5700,390224,390224,1.000000
5800,396952,396952,1.000000
5900,403680,403680,1.000000
6000,410408,410408,1.000000
6100,417136,417136,1.000000
6200,423864,423864,1.000000
6300,430592,430592,1.000000
6400,437320,437320,1.000000
6500,444048,444048,1.000000
6600,450776,450776,1.000000
6700,457504,457504,1.000000
6800,464232,464232,1.000000
6900,470960,470960,1.000000
7000,477688,477688,1.000000
7100,484416,484416,1.000000
7200,491144,491144,1.000000
7300,497872,497872,1.000000
7400,504600,504600,1.000000
7500,511328,511328,1.000000
7600,518056,518056,1.000000
7700,524784,524784,1.000000
7800,531512,531512,1.000000
7900,538240,538240,1.000000
8000,544968,544968,1.000000
8100,551696,551696,1.000000
8200,558424,558424,1.000000
8300,565152,565152,1.000000
8400,571880,571880,1.000000
8500,578608,578608,1.000000
8600,585336,585336,1.000000
8700,592064,592064,1.000000
8800,598792,598792,1.000000
8900,605520,605520,1.000000
9000,612248,612248,1.000000
9100,618976,618976,1.000000
9200,625704,625704,1.000000
9300,632432,632432,1.000000
9400,639160,639160,1.000000
9500,645888,645888,1.000000
9600,652616,652616,1.000000
9700,659344,659344,1.000000
9800,666072,666072,1.000000
9900,672800,672800,1.000000
10000,679528,679528,1.000000
10100,686256,686256,1.000000
10200,692984,692984,1.000000
10300,699712,699712,1.000000
10400,706440,706440,1.000000
10500,713168,713168,1.000000
10600,719896,719896,1.000000
10700,726624,726624,1.000000
10800,733352,733352,1.000000
10900,740080,740080,1.000000
11000,746808,746808,1.000000
11100,753536,753536,1.000000
11200,760264,760264,1.000000
11300,766992,766992,1.000000
11400,773720,773720,1.000000
11500,780448,780448,1.000000
11600,787176,787176,1.000000
11700,793904,793904,1.000000
11800,800632,800632,1.000000
11900,807360,807360,1.000000
12000,814088,814088,1.000000
12100,820816,820816,1.000000
12200,827544,827544,1.000000
12300,834272,834272,1.000000
12400,841000,841000,1.000000
12500,847728,847728,1.000000
12600,854456,854456,1.000000
12700,861184,861184,1.000000
12800,867912,867912,1.000000
12900,874640,874640,1.000000
13000,881368,881368,1.000000
13100,888096,888096,1.000000
13200,894824,894824,1.000000
13300,901552,901552,1.000000
13400,908280,908280,1.000000
13500,915008,915008,1.000000
13600,921736,921736,1.000000
13700,928464,928464,1.000000
13800,935192,935192,1.000000
13900,941920,941920,1.000000
14000,948648,948648,1.000000
14100,955376,955376,1.000000
14200,962104,962104,1.000000
14300,968832,968832,1.000000
14400,975560,975560,1.000000
14500,982288,982288,1.000000
14600,989016,989016,1.000000
14700,995744,995744,1.000000
14800,1002472,1002472,1.000000
14900,1009200,1009200,1.000000
15000,1015928,1015928,1.000000
15100,1022656,1022656,1.000000
15200,1029384,1029384,1.000000
15300,1036112,1036112,1.000000
15400,1042840,1042840,1.000000
15500,1049568,1049568,1.000000
15600,1056296,1056296,1.000000
15700,1063024,1063024,1.000000
15800,1069752,1069752,1.000000
15900,1076480,1076480,1.000000
16000,1083208,1083208,1.000000
16100,1089936,1089936,1.000000
16200,1096664,1096664,1.000000
16300,1103392,1103392,1.000000
16400,1110120,1110120,1.000000
16500,1116848,1116848,1.000000
16600,1123576,1123576,1.000000
16700,1130304,1130304,1.000000
16800,1137032,1137032,1.000000
16900,1143760,1143760,1.000000
17000,1150488,1150488,1.000000
17100,1157216,1157216,1.000000
17200,1163944,1163944,1.000000
17300,1170672,1170672,1.000000
17400,1177400,1177400,1.000000
17500,1184128,1184128,1.000000
17600,1190856,1190856,1.000000
17700,1197584,1197584,1.000000
17800,1204312,1204312,1.000000
17900,1211040,1211040,1.000000
18000,1217768,1217768,1.000000
18100,1224496,1224496,1.000000
18200,1231224,1231224,1.000000
18300,1237952,1237952,1.000000
18400,1244680,1244680,1.000000
18500,1251408,1251408,1.000000
18600,1258136,1258136,1.000000
18700,1264864,1264864,1.000000
18800,1271592,1271592,1.000000
18900,1278320,1278320,1.000000
19000,1285048,1285048,1.000000
19100,1291776,1291776,1.000000
19200,1298504,1298504,1.000000
19300,1305232,1305232,1.000000
19400,1311960,1311960,1.000000
19500,1318688,1318688,1.000000
19600,1325416,1325416,1.000000
19700,1332144,1332144,1.000000
19800,1338872,1338872,1.000000
19900,1345600,1345600,1.000000
20000,1352328,1352328,1.000000
20100,1359056,1359056,1.000000
20200,1365784,1365784,1.000000
20300,1372512,1372512,1.000000
20400,1379240,1379240,1.000000
20500,1385968,1385968,1.000000
20600,1392696,1392696,1.000000
20700,1399424,1399424,1.000000
20800,1406152,1406152,1.000000
20900,1412880,1412880,1.000000
21000,1419608,1419608,1.000000
21100,1426336,1426336,1.000000
21200,1433064,1433064,1.000000
21300,1439792,1439792,1.000000
21400,1446520,1446520,1.000000
21500,1453248,1453248,1.000000
21600,1459976,1459976,1.000000
21700,1466704,1466704,1.000000
21800,1473432,1473432,1.000000
21900,1480160,1480160,1.000000
22000,1486888,1486888,1.000000
22100,1493616,1493616,1.000000
22200,1500344,1500344,1.000000
22300,1507072,1507072,1.000000
22400,1513800,1513800,1.000000
22500,1520528,1520528,1.000000
22600,1527256,1527256,1.000000
22700,1533984,1533984,1.000000
22800,1540712,1540712,1.000000
22900,1547440,1547440,1.000000
23000,1554168,1554168,1.000000
23100,1560896,1560896,1.000000
23200,1567624,1567624,1.000000
23300,1574352,1574352,1.000000
23400,1581080,1581080,1.000000
23500,1587808,1587808,1.000000
23600,1594536,1594536,1.000000
23700,1601264,1601264,1.000000
23800,1607992,1607992,1.000000
23900,1614720,1614720,1.000000
24000,1621448,1621448,1.000000
24100,1628176,1628176,1.000000
24200,1634904,1634904,1.000000
24300,1641632,1641632,1.000000
24400,1648360,1648360,1.000000
24500,1655088,1655088,1.000000
24600,1661816,1661816,1.000000
24700,1668544,1668544,1.000000
24800,1675272,1675272,1.000000
24900,1682000,1682000,1.000000
25000,1688728,1688728,1.000000
25100,1695456,1695456,1.000000
25200,1702184,1702184,1.000000
25300,1708912,1708912,1.000000
25400,1715640,1715640,1.000000
25500,1722368,1722368,1.000000
25600,1729096,1729096,1.000000
25700,1735824,1735824,1.000000
25800,1742552,1742552,1.000000
25900,1749280,1749280,1.000000
26000,1756008,1756008,1.000000
26100,1762736,1762736,1.000000
26200,1769464,1769464,1.000000
26300,1776192,1776192,1.000000
26400,1782920,1782920,1.000000
26500,1789648,1789648,1.000000
26600,1796376,1796376,1.000000
26700,1803104,1803104,1.000000
26800,1809832,1809832,1.000000
26900,1816560,1816560,1.000000
27000,1823288,1823288,1.000000
27100,1830016,1830016,1.000000
27200,1836744,1836744,1.000000
27300,1843472,1843472,1.000000
27400,1850200,1850200,1.000000
27500,1856928,1856928,1.000000
27600,1863656,1863656,1.000000
27700,1870384,1870384,1.000000
27800,1877112,1877112,1.000000
27900,1883840,1883840,1.000000
28000,1890568,1890568,1.000000
28100,1897296,1897296,1.000000
28200,1904024,1904024,1.000000
28300,1910752,1910752,1.000000
28400,1917480,1917480,1.000000
28500,1924208,1924208,1.000000
28600,1930936,1930936,1.000000
28700,1937664,1937664,1.000000
28800,1944392,1944392,1.000000
28900,1951120,1951120,1.000000
29000,1957848,1957848,1.000000
29100,1964576,1964576,1.000000
29200,1971304,1971304,1.000000
29300,1978032,1978032,1.000000
29400,1984760,1984760,1.000000
29500,1991488,1991488,1.000000
29600,1998216,1998216,1.000000
29700,2004944,2004944,1.000000
29800,2011672,2011672,1.000000
29900,2018400,2018400,1.000000
30000,2025128,2025128,1.000000
30100,2031856,2031856,1.000000
30200,2038584,2038584,1.000000
30300,2045312,2045312,1.000000
30400,2052040,2052040,1.000000
30500,2058768,2058768,1.000000
30600,2065496,2065496,1.000000
30700,2072224,2072224,1.000000
30800,2078952,2078952,1.000000
30900,2085680,2085680,1.000000
31000,2092408,2092408,1.000000
31100,2099136,2099136,1.000000
31200,2105864,2105864,1.000000
31300,2112592,2112592,1.000000
31400,2119320,2119320,1.000000
31500,2126048,2126048,1.000000
31600,2132776,2132776,1.000000
31700,2139504,2139504,1.000000
31800,2146232,2146232,1.000000
31900,2152960,2152960,1.000000
32000,2159688,2159688,1.000000
32100,2166416,2166416,1.000000
32200,2173144,2173144,1.000000
32300,2179872,2179872,1.000000
32400,2186600,2186600,1.000000
32500,2193328,2193328,1.000000
32600,2200056,2200056,1.000000
32700,2206784,2206784,1.000000
32800,2213512,2213512,1.000000
32900,2220240,2220240,1.000000
33000,2226968,2226968,1.000000
33100,2233696,2233696,1.000000
33200,2240424,2240424,1.000000
33300,2247152,2247152,1.000000
33400,2253880,2253880,1.000000
33500,2260608,2260608,1.000000
33600,2267336,2267336,1.000000
33700,2274064,2274064,1.000000
33800,2280792,2280792,1.000000
33900,2287520,2287520,1.000000
34000,2294248,2294248,1.000000
34100,2300976,2300976,1.000000
34200,2307704,2307704,1.000000
34300,2314432,2314432,1.000000
34400,2321160,2321160,1.000000
34500,2327888,2327888,1.000000
34600,2334616,2334616,1.000000
34700,2341344,2341344,1.000000
34800,2348072,2348072,1.000000
34900,2354800,2354800,1.000000
35000,2361528,2361528,1.000000
35100,2368256,2368256,1.000000
35200,2374984,2374984,1.000000
35300,2381712,2381712,1.000000
35400,2388440,2388440,1.000000
35500,2395168,2395168,1.000000
35600,2401896,2401896,1.000000
35700,2408624,2408624,1.000000
35800,2415352,2415352,1.000000
35900,2422080,2422080,1.000000
36000,2428808,2428808,1.000000
36100,2435536,2435536,1.000000
36200,2442264,2442264,1.000000
36300,2448992,2448992,1.000000
36400,2455720,2455720,1.000000
36500,2462448,2462448,1.000000
36600,2469176,2469176,1.000000
36700,2475904,2475904,1.000000
36800,2482632,2482632,1.000000
36900,2489360,2489360,1.000000
37000,2496088,2496088,1.000000
37100,2502816,2502816,1.000000
37200,2509544,2509544,1.000000
37300,2516272,2516272,1.000000
37400,2523000,2523000,1.000000
37500,2529728,2529728,1.000000
37600,2536456,2536456,1.000000
37700,2543184,2543184,1.000000
37800,2549912,2549912,1.000000
37900,2556640,2556640,1.000000
38000,2563368,2563368,1.000000
38100,2570096,2570096,1.000000
38200,2576824,2576824,1.000000
38300,2583552,2583552,1.000000
38400,2590280,2590280,1.000000
38500,2597008,2597008,1.000000
38600,2603736,2603736,1.000000
38700,2610464,2610464,1.000000
38800,2617192,2617192,1.000000
38900,2623920,2623920,1.000000
39000,2630648,2630648,1.000000
39100,2637376,2637376,1.000000
39200,2644104,2644104,1.000000
39300,2650832,2650832,1.000000
39400,2657560,2657560,1.000000
39500,2664288,2664288,1.000000
39600,2671016,2671016,1.000000
39700,2677744,2677744,1.000000
39800,2684472,2684472,1.000000
39900,2691200,2691200,1.000000
40000,2697928,2697928,1.000000
40100,2704656,2704656,1.000000
40200,2711384,2711384,1.000000
40300,2718112,2718112,1.000000
40400,2724840,2724840,1.000000
40500,2731568,2731568,1.000000
40600,2738296,2738296,1.000000
40700,2745024,2745024,1.000000
40800,2751752,2751752,1.000000
40900,2758480,2758480,1.000000
41000,2765208,2765208,1.000000
41100,2771936,2771936,1.000000
41200,2778664,2778664,1.000000
41300,2785392,2785392,1.000000
41400,2792120,2792120,1.000000
41500,2798848,2798848,1.000000
41600,2805576,2805576,1.000000
41700,2812304,2812304,1.000000
41800,2819032,2819032,1.000000
41900,2825760,2825760,1.000000
42000,2832488,2832488,1.000000
42100,2839216,2839216,1.000000
42200,2845944,2845944,1.000000
42300,2852672,2852672,1.000000
42400,2859400,2859400,1.000000
42500,2866128,2866128,1.000000
42600,2872856,2872856,1.000000
42700,2879584,2879584,1.000000
42800,2886312,2886312,1.000000
42900,2893040,2893040,1.000000
43000,2899768,2899768,1.000000
43100,2906496,2906496,1.000000
43200,2913224,2913224,1.000000
43300,2919952,2919952,1.000000
43400,2926680,2926680,1.000000
43500,2933408,2933408,1.000000
43600,2940136,2940136,1.000000
43700,2946864,2946864,1.000000
43800,2953592,2953592,1.000000
43900,2960320,2960320,1.000000
44000,2967048,2967048,1.000000
44100,2973776,2973776,1.000000
44200,2980504,2980504,1.000000
44300,2987232,2987232,1.000000
44400,2993960,2993960,1.000000
44500,3000688,3000688,1.000000
44600,3007416,3007416,1.000000
44700,3014144,3014144,1.000000
44800,3020872,3020872,1.000000
44900,3027600,3027600,1.000000
45000,3034328,3034328,1.000000
45100,3041056,3041056,1.000000
45200,3047784,3047784,1.000000
45300,3054512,3054512,1.000000
45400,3061240,3061240,1.000000
45500,3067968,3067968,1.000000
45600,3074696,3074696,1.000000
45700,3081424,3081424,1.000000
45800,3088152,3088152,1.000000
45900,3094880,3094880,1.000000
46000,3101608,3101608,1.000000
46100,3108336,3108336,1.000000
46200,3115064,3115064,1.000000
46300,3121792,3121792,1.000000
46400,3128520,3128520,1.000000
46500,3135248,3135248,1.000000
46600,3141976,3141976,1.000000
46700,3148704,3148704,1.000000
46800,3155432,3155432,1.000000
46900,3162160,3162160,1.000000
47000,3168888,3168888,1.000000
47100,3175616,3175616,1.000000
47200,3182344,3182344,1.000000
47300,3189072,3189072,1.000000
47400,3195800,3195800,1.000000
47500,3202528,3202528,1.000000
47600,3209256,3209256,1.000000
47700,3215984,3215984,1.000000
47800,3222712,3222712,1.000000
47900,3229440,3229440,1.000000
48000,3236168,3236168,1.000000
48100,3242896,3242896,1.000000
48200,3249624,3249624,1.000000
48300,3256352,3256352,1.000000
48400,3263080,3263080,1.000000
48500,3269808,3269808,1.000000
48600,3276536,3276536,1.000000
48700,3283264,3283264,1.000000
48800,3289992,3289992,1.000000
48900,3296720,3296720,1.000000
49000,3303448,3303448,1.000000
49100,3310176,3310176,1.000000
