Loop,Nand Write,Host Write,WAF
100,5708,5708,1.000000
200,5808,5808,1.000000
300,5908,5908,1.000000
400,6008,6008,1.000000
500,6108,6108,1.000000
600,6208,6208,1.000000
700,6308,6308,1.000000
800,6408,6408,1.000000
900,6508,6508,1.000000
1000,6608,6608,1.000000
1100,6708,6708,1.000000
1200,6808,6808,1.000000
1300,6908,6908,1.000000
1400,7008,7008,1.000000
1500,7108,7108,1.000000
1600,7208,7208,1.000000
1700,7308,7308,1.000000
1800,7408,7408,1.000000
1900,7508,7508,1.000000
2000,7608,7608,1.000000
2100,7708,7708,1.000000
2200,7808,7808,1.000000
2300,7908,7908,1.000000
2400,8008,8008,1.000000
2500,8108,8108,1.000000
2600,8208,8208,1.000000
2700,8308,8308,1.000000
2800,8408,8408,1.000000
2900,8508,8508,1.000000
3000,8608,8608,1.000000
3100,8708,8708,1.000000
3200,8808,8808,1.000000
3300,8908,8908,1.000000
3400,9008,9008,1.000000
3500,9108,9108,1.000000
3600,9208,9208,1.000000
3700,9308,9308,1.000000
3800,9408,9408,1.000000
3900,9508,9508,1.000000
4000,9608,9608,1.000000
4100,9708,9708,1.000000
4200,9808,9808,1.000000
4300,9908,9908,1.000000
4400,10008,10008,1.000000
4500,10108,10108,1.000000
4600,10208,10208,1.000000
4700,10308,10308,1.000000
4800,10408,10408,1.000000
4900,10508,10508,1.000000
5000,10608,10608,1.000000
5100,10708,10708,1.000000
5200,10808,10808,1.000000
5300,10908,10908,1.000000
5400,11008,11008,1.000000
5500,11108,11108,1.000000
5600,11208,11208,1.000000
5700,11308,11308,1.000000
5800,11408,11408,1.000000
5900,11508,11508,1.000000
6000,11608,11608,1.000000
6100,11708,11708,1.000000
6200,11808,11808,1.000000
6300,11908,11908,1.000000
6400,12008,12008,1.000000
6500,12108,12108,1.000000
6600,12208,12208,1.000000
6700,12308,12308,1.000000
6800,12408,12408,1.000000
6900,12508,12508,1.000000
7000,12608,12608,1.000000
7100,12708,12708,1.000000
7200,12808,12808,1.000000
7300,12908,12908,1.000000
7400,13008,13008,1.000000
7500,13108,13108,1.000000
7600,13208,13208,1.000000
7700,13308,13308,1.000000
7800,13408,13408,1.000000
7900,13508,13508,1.000000
8000,13608,13608,1.000000
8100,13708,13708,1.000000
8200,13808,13808,1.000000
8300,13908,13908,1.000000
8400,14008,14008,1.000000
8500,14108,14108,1.000000
8600,14208,14208,1.000000
8700,14308,14308,1.000000
8800,14408,14408,1.000000
8900,14508,14508,1.000000
9000,14608,14608,1.000000
9100,14708,14708,1.000000
9200,14808,14808,1.000000
9300,14908,14908,1.000000
9400,15008,15008,1.000000
9500,15108,15108,1.000000
9600,15208,15208,1.000000
9700,15308,15308,1.000000
9800,15408,15408,1.000000
9900,15508,15508,1.000000
9999,15607,15607,1.000000
